sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A2ba	5624222_A	5624223_A	5624224_A	B8a	B8f	B1gb	B8i	B1is	B1ga	B1ir	2541448_B	51043_B	698733_B	B1iq	B8j	B8l	B19bw	5624220_B	B8k	2541383_B	2541329_B	5624208_B	5624209_B	5624217_B	B8h	2541307_B	3690898_B	5624210_B	2541457_B	5624211_B	3690660_B	5624227_B	5624226_B	5624212_B	5624785_B	2541615_B	2541392_B	5624228_B	5624214_B	5624213_B	5624229_B	5624215_B	5624216_B	B8d	3691359_B	4349209_B	3692159_B	5624218_B	B8	3691003_B	2546212_B	5624221_B	3690876_B	5624219_B	5625024_B	5624230_B	2541475_B	324133_B	5624283_B	5624225_B	5625068_B	5624331_B
256416	CE_2.1	CE21_R1_001.fastq.gz	5979d23709687a5c492fbb0fde5115f62fd945855d9d27cc895193aef0c125b0	CE21_R2_001.fastq.gz	5b50772af8861128ef4f1af40e44d6229d401f1ba82be303125e65d12c62b99f	1339	20251018T223211_spencow1	245945	136629	896	112637	670	21	5	23971	221	109705	14	0	10240	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Eunicea	flexuosa	0E-8	0E-8	2025	0	0	0	0	0	69649	9581	8387	5119	2660	4069	0	1808	2518	1216	0	0	0	0	999	0	705	774	0	0	0	0	0	0	0	0	0	1133	0	1087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256420	EE_2.1	EE21_R1_001.fastq.gz	0e1657d5ee06f88bcd0e46a8f8112b91db8d5b78b5a4a67876009727a3a801be	EE21_R2_001.fastq.gz	09baad511b7d3d1ece8e39423004427034ad6d140c30091195b79537a73c4b21	1339	20251018T223211_spencow1	209209	133553	847	118928	728	29	8	14596	111	114829	13	0	11107	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Eunicea	flexuosa	0E-8	0E-8	2025	0	0	0	0	0	77686	4764	10787	3763	2144	4578	0	1993	2034	1756	0	0	0	0	0	0	767	1124	0	0	0	0	0	0	0	0	0	0	2928	0	0	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256419	DE_2.4	DE24_R1_001.fastq.gz	d166256862d977800bec28235e106536485ba4da916004d3d10385ee8d081844	DE24_R2_001.fastq.gz	4f721b35285823806a3a2a35941f2d97ce7f6dfd95d5eef917e36b2089e023dc	1339	20251018T223211_spencow1	182747	100130	737	82584	555	17	5	17529	177	78987	13	0	8336	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Eunicea	flexuosa	0E-8	0E-8	2025	0	0	0	0	0	46323	6457	8185	2765	3093	3828	0	1229	2370	1416	0	0	0	0	0	0	479	832	0	0	0	0	1401	0	0	0	0	0	0	0	0	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256414	BE_2.1	BE21_R1_001.fastq.gz	19804e29a9b345ddd0310a0268b07ec75103728c662430b2e3c868026f60e487	BE21_R2_001.fastq.gz	ccc5f0b58828149a006dd11bb666621c63dbee0b76f1eba12c6a2494d26951b5	1339	20251018T223211_spencow1	257727	135850	957	114762	707	35	10	21053	240	110470	14	0	10798	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Eunicea	flexuosa	0E-8	0E-8	2025	0	0	0	0	0	72891	6694	6112	5385	2921	4710	0	1997	1813	1536	959	0	0	0	3006	0	659	925	0	0	0	0	0	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256418	DE_2.1	DE21_R1_001.fastq.gz	49cee276e90386b88a493759a0ede84c8dccd064a5aaa5955037e4fa06008459	DE21_R2_001.fastq.gz	65fad680d2fddeebefd2afa3facc6a13c77ea7a47f9381a0b8531d508f5b1479	1339	20251018T223211_spencow1	285441	216471	1323	207828	1191	18	5	8625	127	199839	14	0	21293	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Eunicea	flexuosa	0E-8	0E-8	2025	0	0	0	0	0	119610	15362	20310	6632	7902	8730	0	3332	4080	3650	0	0	0	0	0	0	1805	2832	0	0	0	0	3069	0	0	1568	0	0	0	0	0	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256417	CE_2.4	CE24_R1_001.fastq.gz	27740e0304baeabe7ebb23a3ed4039d1db17f0a3faeae319d8d4de192a0e2d4a	CE24_R2_001.fastq.gz	0161302338bc5a65552f4c6e0e6d8981cda1323f5de721537dbefd8766e1930e	1339	20251018T223211_spencow1	243813	102091	759	72686	534	10	3	29395	222	70864	15	0	7725	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Eunicea	flexuosa	0E-8	0E-8	2025	0	0	0	0	0	45154	3576	5917	3462	1948	3082	0	1461	1131	858	0	0	0	0	539	0	567	573	0	0	0	0	0	0	0	0	0	1083	0	1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0
256415	BE_2.4	BE24_R1_001.fastq.gz	b6f73c4f146645eaf89c74435abd5262fd2c76a758549786721d2e26c9d445e2	BE24_R2_001.fastq.gz	5ba42fda68c320599afe917d9944d4f31537fa629e017033231c8b25ab8097c8	1339	20251018T223211_spencow1	172744	43071	425	19528	181	7	2	23536	242	18927	12	0	1287	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Eunicea	flexuosa	0E-8	0E-8	2025	0	0	0	0	0	11930	1637	862	941	476	720	0	0	0	0	399	412	263	0	626	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256421	EE_2.4	EE24_R1_001.fastq.gz	bffdaee77442f9b2ad6d4905b3ba9053b451902243295e7910f33f7d4e62d384	EE24_R2_001.fastq.gz	ac790370d29694f6f5abaf260390ee0f304386b5023dbe9210394841a45b2e1a	1339	20251018T223211_spencow1	211371	127587	968	112814	815	15	5	14758	148	107427	16	0	20336	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Eunicea	flexuosa	0E-8	0E-8	2025	0	0	0	0	0	54312	14358	9968	2946	3444	2063	0	4028	3189	4048	0	0	0	0	0	0	1361	0	0	0	0	0	0	0	0	1496	0	0	0	0	0	641	0	0	2165	0	0	1935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	891	0	0	0	0	582	0
256413	AE_2.4	AE24_R1_001.fastq.gz	c65adab8cdd428a6adea358acbcb9d32f742320c614c7776ea9e9f628387ab0b	AE24_R2_001.fastq.gz	319ac85fbfc76e2062999862ebb2e140450f6d627dc34ecb04763f2c30f2af9e	1339	20251018T223211_spencow1	330963	266992	2089	265831	2048	0	0	1161	41	255716	33	0	56122	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Eunicea	flexuosa	0E-8	0E-8	2025	0	0	0	0	0	106422	5886	0	8349	0	0	27666	0	0	1365	14073	9611	0	11472	0	8009	0	0	5808	4633	1911	4178	0	4277	4081	0	3213	0	0	0	2990	0	2701	0	0	2357	2283	0	2022	2156	2001	1495	0	2092	2106	1927	1933	1970	0	1843	1721	1409	0	1756	0	0	0	0	0
256412	AE_2.1	AE21_R1_001.fastq.gz	1b64ddf81986725637e7619619d59d57c0f8c40ec3166735c4cae80298187567	AE21_R2_001.fastq.gz	2416a5c60866a334e835744d0fc3513861349faf5d6068e05fe32a35c4139efa	1339	20251018T223211_spencow1	345633	272493	2263	266083	2141	26	7	6384	115	255877	32	0	56437	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Eunicea	flexuosa	0E-8	0E-8	2025	0	0	0	0	0	107129	5672	0	7817	0	0	28346	0	0	0	13285	9488	0	11075	0	8065	0	0	6524	4604	1981	4301	0	4132	4067	0	3368	0	0	0	3275	0	2589	0	0	2418	2410	0	2305	2162	2237	2687	0	1887	1851	2025	1974	1858	0	1629	1616	1380	0	0	1720	0	0	0	0
